IID,SCORE
HG00096,0.2607407969667984
HG00097,-0.31532919111342833
HG00099,0.45169329228348626
HG00100,0.533137924501996
HG00101,-0.7056234748193035
HG00102,-0.4276537007398171
HG00103,0.18496682871686504
HG00104,-0.005278326559990637
HG00105,0.12300238412516266
HG00106,-0.2352440185725217
HG00107,0.5069340924312358
HG00108,0.46340606513776145
HG00109,0.15848755083522492
HG00110,0.6131101330651052
HG00111,0.3304810022207763
HG00112,-0.2379208910991793
HG00113,0.28817283590094245
HG00114,-0.28058530619514316
HG00115,0.5065281090800355
HG00116,0.10881173973348925
HG00117,0.05100496345721035
HG00118,-0.1615102168226485
HG00119,0.6539367094879546
HG00120,0.06399956988172514
HG00121,-0.053295639014675156
HG00122,-0.020654013029157564
HG00123,0.35824125509105453
HG00124,0.2867562371735711
HG00125,0.3070146508077214
HG00126,0.3147637176885769
HG00127,1.0476818322129056
HG00128,-0.043908193019169345
HG00129,-0.08924478513424661
HG00130,-0.21842023678139083
HG00131,0.3940855846313423
HG00132,0.61385173020163
HG00133,0.0813849091406515
HG00134,-0.229723034730747
HG00136,-0.22300775280212703
HG00137,0.40891395030410194
HG00138,0.44861008694355464
HG00139,0.3628872885419455
HG00140,-0.15490435860247664
HG00141,0.22965791080178272
HG00142,0.18018820063588795
HG00143,0.22388619483870914
HG00148,0.5035200884730044
HG00149,0.22598833309507388
HG00150,0.42104657041999977
HG00151,0.15915087336904107
HG00152,0.2540587503987892
HG00153,0.4006438759492307
HG00154,-0.4940455532261675
HG00155,-0.006747149087467902
HG00156,-0.07130764509903362
HG00157,-0.14349527018744768
HG00158,0.012329059574488668
HG00159,0.7706328577328152
HG00160,-0.2407220499629854
HG00161,0.5450104471069903
HG00162,-0.5907414101602108
HG00163,-0.013264746845905978
HG00164,0.19992341309098438
HG00165,0.38133764675431475
HG00166,0.43488946678325907
HG00167,0.470069955559648
HG00168,-0.019193820951230678
HG00169,-0.06787150797750058
HG00171,0.4977568675305647
HG00172,0.04824522722071617
HG00173,-0.4163040209179657
HG00174,-0.35530024247909114
HG00176,-0.2636933593230903
HG00177,0.34318366275263246
HG00178,0.19121518533263013
HG00179,0.4260039256826319
HG00180,-0.0528350336905713
HG00181,0.19811840365726435
HG00182,0.39820292477560704
HG00183,-0.002324057616150149
HG00185,0.32588251176959504
HG00186,-0.1533690731529534
HG00187,-0.025332267868476782
HG00188,-0.03333651378888419
HG00189,-0.3820977041703446
HG00190,0.33881901076854326
HG00231,-0.07089196254284694
HG00232,0.13555248046294127
HG00233,0.33615186867529134
HG00234,0.321493955811228
HG00235,0.4152509806839416
HG00236,0.0880088184361629
HG00237,-0.05114099687971549
HG00238,0.09604871844769863
HG00239,-0.5926540715076201
HG00240,-0.4897429831860506
HG00242,-0.43644451393262595
HG00243,-0.29702054094447483
HG00244,0.30146327872832024
HG00245,-0.25770722731625006
HG00246,-0.03180483815047455
HG00247,0.6867894027715504
HG00249,-0.022423485202714893
HG00250,0.44615166953129987
HG00251,-0.26976181411623135
HG00252,0.04219055020950728
HG00253,-0.276789448323693
HG00254,-0.015041769715800984
HG00255,0.49018800608674823
HG00256,-0.6097840692956022
HG00257,0.3163070888950453
HG00258,0.23204593203914783
HG00259,-0.12433384102050676
HG00260,-0.489291184820014
HG00261,0.16110028110462168
HG00262,-0.09663467656293298
HG00263,0.22987848894435514
HG00264,0.1395614591422429
HG00265,0.8164020770418802
